timestamp,latitude,longitude,temperature,humidity,wind_speed,wind_direction,rainfall,pressure,drought_index,wildfire_occurred
2018-01-01 01:00:00,37.0977,-117.7325,9.39,85.1,16.23,47.34,0.48,1010.4,1.06,0
2018-01-01 02:00:00,33.8499,-118.8277,15.5,82.62,13.33,260.04,12.31,1007.6,2.53,0
2018-01-01 05:00:00,36.4404,-123.9973,13.02,88.07,33.34,329.61,2.18,1021.95,3.76,0
2018-01-01 06:00:00,38.368,-115.7473,10.27,69.79,3.44,38.18,2.44,1015.89,0.37,0
2018-01-01 06:00:00,38.936,-123.4104,16.54,92.78,7.17,303.59,4.31,1007.61,2.24,0
2018-01-01 06:00:00,33.6113,-116.558,19.98,70.63,19.15,312.69,18.52,1011.51,3.97,0
2018-01-01 07:00:00,36.7163,-120.2751,15.68,70.4,13.19,153.41,2.47,1013.9,2.98,0
2018-01-01 08:00:00,36.5424,-118.835,18.65,84.37,19.99,195.67,10.85,1017.92,2.42,0
2018-01-01 09:00:00,39.9693,-122.8254,14.79,90.43,10.95,247.72,43.39,1014.52,2.8,0
2018-01-01 09:00:00,32.8915,-123.8208,20.56,87.59,37.45,290.57,8.06,1016.28,2.32,0
2018-01-01 10:00:00,39.9621,-115.3488,14.47,90.35,7.72,260.91,0.42,1017.84,0.92,0
2018-01-01 13:00:00,39.9435,-123.0142,12.49,96.98,1.89,254.48,3.79,1013.6,0.12,0
2018-01-01 14:00:00,39.1224,-122.411,16.0,86.85,31.41,34.57,1.18,1014.52,2.6,0
2018-01-01 14:00:00,41.0477,-124.1525,13.69,100.0,26.22,277.67,2.13,1014.29,3.06,0
2018-01-01 15:00:00,36.9191,-121.1456,19.06,80.33,19.87,73.73,21.53,1000.78,1.84,0
2018-01-01 15:00:00,33.4129,-120.856,20.88,63.06,28.07,165.63,4.91,1009.81,2.31,0
2018-01-01 16:00:00,35.6493,-120.2161,17.43,67.59,24.44,233.16,2.94,1020.62,3.73,0
2018-01-01 16:00:00,38.3069,-118.5878,8.1,78.2,37.51,143.53,2.71,1015.33,2.76,0
2018-01-01 16:00:00,35.5675,-115.8695,17.4,72.71,10.23,220.44,1.37,1010.48,0.93,0
2018-01-01 16:00:00,38.513,-118.3051,21.43,84.38,12.05,332.76,0.78,1007.07,2.41,0
2018-01-01 17:00:00,32.9144,-117.3256,20.25,76.02,32.15,7.69,2.17,1014.25,2.92,0
2018-01-01 17:00:00,33.1682,-118.4992,23.19,80.51,18.57,349.55,2.06,1011.17,3.08,0
2018-01-01 19:00:00,32.5999,-115.8286,14.77,69.35,32.72,151.37,0.78,1006.45,1.85,0
2018-01-01 20:00:00,41.7716,-119.8953,8.47,100.0,11.35,264.1,0.13,1010.37,2.56,0
2018-01-01 21:00:00,34.9856,-121.0915,14.38,72.01,8.31,111.31,1.23,1006.79,3.59,0
2018-01-01 22:00:00,40.0578,-118.4048,11.75,95.67,5.23,257.17,0.08,1011.17,1.21,0
2018-01-01 22:00:00,40.925,-120.2017,6.42,85.96,6.53,339.9,3.99,1020.86,3.49,0
2018-01-02 00:00:00,33.9973,-119.6354,20.16,81.69,25.36,291.51,4.56,1013.72,1.6,0
2018-01-02 01:00:00,34.3917,-119.2049,18.39,75.73,7.11,293.83,2.42,1006.35,3.24,0
2018-01-02 02:00:00,36.1324,-119.5773,6.84,74.39,35.67,123.53,6.61,1004.1,2.41,0
2018-01-02 04:00:00,37.2886,-121.6808,11.5,75.53,11.03,340.29,1.2,1005.09,2.49,0
2018-01-02 05:00:00,37.5801,-120.3245,11.34,83.84,22.62,14.02,9.79,1005.62,1.2,0
2018-01-02 07:00:00,36.164,-114.4882,12.26,79.81,13.99,291.59,0.89,1012.27,2.63,0
2018-01-02 08:00:00,38.0692,-120.1471,15.78,85.74,16.8,328.18,14.59,1010.6,2.65,0
2018-01-02 10:00:00,39.4928,-122.4585,16.75,92.47,14.49,326.17,0.74,1011.79,2.75,0
2018-01-02 12:00:00,39.1512,-124.0773,21.03,86.31,11.86,47.24,0.19,1023.84,1.77,0
2018-01-02 14:00:00,32.787,-118.8805,22.35,76.84,15.06,212.58,2.25,1013.85,1.4,0
2018-01-02 18:00:00,38.1363,-117.4678,12.79,72.26,24.55,310.27,4.64,1005.47,1.51,0
2018-01-02 20:00:00,39.2699,-119.1518,12.36,84.84,7.07,297.04,3.49,1022.55,1.38,0
2018-01-02 20:00:00,34.4064,-117.7377,19.33,63.59,37.69,246.6,0.36,1009.46,3.31,0
2018-01-02 22:00:00,38.2344,-120.788,3.53,81.13,15.22,85.97,1.64,1007.71,1.07,0
2018-01-02 22:00:00,33.5528,-123.7819,18.01,75.36,20.97,201.46,2.29,1018.44,5.3,0
2018-01-02 22:00:00,38.817,-120.0925,12.73,79.26,18.25,133.53,1.54,1010.42,1.73,0
2018-01-03 01:00:00,38.3939,-119.0758,13.45,83.91,42.22,311.07,3.72,1026.82,1.26,0
2018-01-03 01:00:00,34.7891,-116.5249,4.07,72.9,36.32,358.9,5.09,1017.03,1.82,0
2018-01-03 04:00:00,40.8156,-114.818,13.41,100.0,22.49,218.71,2.11,1021.69,1.85,0
2018-01-03 06:00:00,40.1625,-116.9053,11.47,88.88,16.41,150.95,0.62,1019.19,3.42,0
2018-01-03 08:00:00,39.5206,-118.2416,17.29,92.13,15.99,119.95,1.51,1001.18,0.45,0
2018-01-03 11:00:00,36.8658,-122.9036,17.08,81.9,11.79,88.88,1.21,1011.44,3.8,0
2018-01-03 14:00:00,34.6555,-124.3638,17.88,69.81,20.6,349.52,5.24,1012.14,3.89,0
2018-01-03 14:00:00,39.9307,-121.5009,19.64,79.22,9.45,110.11,1.8,1011.27,0.93,0
2018-01-03 14:00:00,34.5382,-122.9055,17.02,71.59,19.05,341.46,0.62,1003.79,3.05,0
2018-01-03 17:00:00,37.1259,-122.772,12.62,79.47,31.59,183.5,0.22,1013.62,0.66,0
2018-01-03 18:00:00,36.0976,-115.3803,15.66,95.09,14.99,280.26,3.66,1028.43,2.49,0
2018-01-03 19:00:00,34.419,-114.9873,13.41,74.12,4.66,140.64,2.69,1010.79,1.91,0
2018-01-03 20:00:00,38.339,-114.4813,12.77,74.06,19.55,51.49,2.58,1015.19,2.96,0
2018-01-03 21:00:00,41.8297,-123.5911,3.4,87.46,33.13,293.26,5.22,1012.89,0.09,0
2018-01-03 22:00:00,37.0246,-123.4062,11.86,70.81,11.38,71.18,11.99,1012.44,1.98,0
2018-01-03 23:00:00,37.2456,-121.8688,5.62,83.2,23.67,331.15,1.01,1011.29,2.34,0
2018-01-04 01:00:00,36.041,-114.4306,13.43,85.59,29.27,265.89,3.85,1014.53,3.43,0
2018-01-04 01:00:00,34.6687,-122.4978,8.01,69.92,28.88,81.27,5.98,1012.02,3.04,0
2018-01-04 01:00:00,35.1845,-117.2316,7.29,68.07,28.46,54.08,11.7,1014.27,2.84,0
2018-01-04 02:00:00,40.8203,-122.1276,10.42,90.75,10.14,12.26,2.75,1021.72,0.53,0
2018-01-04 02:00:00,41.5071,-116.2415,10.19,94.97,21.02,247.75,5.59,995.38,1.33,0
2018-01-04 03:00:00,40.3492,-117.4959,8.89,77.23,34.34,77.55,0.54,1011.88,0.73,0
